id,name,latitude,longitude
217,Agri,43.05139,39.71944,
218,Agrigento,13.57661,37.31065,
219,Agrinio,21.40778,38.62139,
220,Agropoli,14.99067,40.34923,
221,Agryz,52.99422,56.52034,
222,Agua Dulce,-94.14527,18.13909,
223,Agua Preta,-35.53056,-8.7075,
224,Agua Prieta,-109.54876,31.33071,
225,Aguachica,-73.6166,8.30844,
226,Aguada de Pasajeros,-80.84792,22.3852,
227,Aguadas,-75.45624,5.61161,
228,Aguadilla,-67.15407,18.42745,
229,Aguadulce,-80.54609,8.24183,
230,Aguai,-46.97861,-22.05944,
231,Aguas Belas,-37.12306,-9.11139,
232,Aguas de Lindoia,-46.63278,-22.47639,
233,Aguas Santas,-8.5866,41.21061,
234,Aguas Vermelhas,-41.46,-15.74722,
235,Aguascalientes,-102.28259,21.88234,
236,Aguazul,-72.54706,5.17282,
237,Agudos,-48.9875,-22.46917,
238,Aguilares,-65.61427,-27.4338,
239,Aguilares,-89.18972,13.95722,
240,Aguilas,-1.58289,37.4063,
241,Aguimes,-15.44609,27.90539,
242,Agulu,7.061,6.10045,
243,Agustin Codazzi,-73.23558,10.03672,
244,Ahar,47.0699,38.4774,
245,Ahaus,7.01344,52.07936,
246,Ahfir,-2.10027,34.95368,
247,Ahlat,42.48007,38.7489,
248,Ahlen,7.8887,51.76338,
249,Ahmadnagar,74.73843,19.09457,
250,Ahmadpur,76.93731,18.70622,
251,Ahmadpur East,71.25976,29.14309,
252,Ahmadpur Sial,71.74828,30.67539,
253,Ahmedabad,72.58727,23.02579,
254,Ahraura,83.03294,25.01579,
255,Ahrensburg,10.22593,53.67515,
256,Ahuachapan,-89.845,13.92139,
257,Ahvaz,48.6842,31.31901,
258,Aibak,68.01551,36.26468,
259,Aichach,11.13413,48.45755,
260,Aigaleo,23.68333,37.98333,
261,Aigio,22.08194,38.24861,
262,Aiken,-81.71955,33.56042,
263,Aileu,125.56639,-8.72806,
264,Aimores,-41.06389,-19.49583,
265,Ain Arnat,5.31347,36.18683,
